activity_id,date,start_time,name,type,duration_min,distance_km,avg_hr,max_hr,calories,avg_power,norm_power,training_load,aerobic_te,anaerobic_te,elevation_gain_m,avg_speed_kmh
23198697590,2026-06-10,2026-06-10 18:17:02,Quan 10 Cycling,cycling,5.5,1.5,113.0,129.0,30.0,,,6.2823333740234375,0.5,0.0,0.0,16.32
23194547903,2026-06-10,2026-06-10 08:19:13,Meditation,meditation,10.0,,66.0,84.0,,,,0.0,0.0,0.0,,
23194547637,2026-06-10,2026-06-10 08:02:59,Relax and Focus,breathwork,15.6,,63.0,77.0,,,,1.7852325439453125,0.10000000149011612,0.0,,
23211219970,2026-06-11,2026-06-11 19:20:45,Huyen Binh Chanh Cycling,cycling,18.3,6.31,124.0,150.0,103.0,79.0,98.0,41.77854919433594,2.0,0.8999999761581421,23.0,20.74
23209989260,2026-06-11,2026-06-11 17:27:22,Quan 10 Cycling,cycling,17.5,6.34,136.0,163.0,111.0,98.0,131.0,74.06260681152344,2.5,1.899999976158142,14.0,21.78
23206314136,2026-06-11,2026-06-11 07:23:16,Meditation,meditation,10.0,,58.0,75.0,,,,0.0,0.0,0.0,,
23206313728,2026-06-11,2026-06-11 07:07:17,Relax and Focus,breathwork,15.6,,63.0,83.0,,,,0.0,0.0,0.0,,
23395882084,2026-06-12,2026-06-12 20:36:16,Evening Ride,cycling,68.7,21.25,136.0,152.0,239.0,62.39995149163231,82.32464131338288,,,,230.1678305864334,18.56
23222437539,2026-06-12,2026-06-12 19:26:19,Quan 10 Cycling,cycling,5.7,1.31,129.0,146.0,42.0,,,21.330963134765625,1.100000023841858,0.5,0.0,13.81
23222292293,2026-06-12,2026-06-12 18:19:21,Back,strength_training,58.5,,130.0,164.0,364.0,,,73.65174865722656,2.5999999046325684,1.0,,
23221570880,2026-06-12,2026-06-12 18:03:37,Quan 10 Cycling,cycling,6.0,1.49,123.0,131.0,41.0,,,11.98492431640625,0.8999999761581421,0.0,0.0,14.73
23217694075,2026-06-12,2026-06-12 07:11:28,Meditation,meditation,10.0,,59.0,73.0,,,,0.0,0.0,0.0,,
23217652230,2026-06-12,2026-06-12 06:55:29,Relax and Focus,breathwork,15.6,,60.0,78.0,,,,0.0,0.0,0.0,,
23227494174,2026-06-13,2026-06-13 04:47:09,Meditation,meditation,10.0,,73.0,98.0,,,,0.1750335693359375,0.0,0.0,,
23227490114,2026-06-13,2026-06-13 04:31:07,Relax and Focus,breathwork,15.6,,86.0,116.0,,,,1.4933624267578125,0.10000000149011612,0.0,,
23241105622,2026-06-14,2026-06-14 11:12:02,Meditation,meditation,10.0,,84.0,97.0,,,,0.8998565673828125,0.0,0.0,,
23241105340,2026-06-14,2026-06-14 10:56:02,Relax and Focus,breathwork,15.6,,91.0,101.0,,,,2.4013519287109375,0.10000000149011612,0.0,,
23256826053,2026-06-15,2026-06-15 19:25:13,Quan 5 Walking,walking,16.1,1.29,111.0,123.0,84.0,,,11.580368041992188,0.8999999761581421,0.0,0.0,4.82
23251747392,2026-06-15,2026-06-15 05:48:06,Meditation,meditation,10.0,,83.0,90.0,,,,0.2823486328125,0.0,0.0,,
23251747142,2026-06-15,2026-06-15 05:32:04,Relax and Focus,breathwork,15.6,,88.0,111.0,,,,2.109832763671875,0.10000000149011612,0.0,,
23269728574,2026-06-16,2026-06-16 18:49:32,Quan 10 Cycling,cycling,98.1,38.48,145.0,183.0,643.0,90.0,120.0,271.4316711425781,3.9000000953674316,3.299999952316284,67.0,23.54
23263713300,2026-06-16,2026-06-16 07:19:05,Meditation,meditation,10.0,,77.0,87.0,,,,0.0236053466796875,0.0,0.0,,
23263712871,2026-06-16,2026-06-16 07:03:00,Relax and Focus,breathwork,15.6,,67.0,94.0,,,,0.0,0.0,0.0,,
23283049692,2026-06-17,2026-06-17 20:20:02,Zwift - Easy Hour,virtual_ride,60.4,25.82,135.0,145.0,309.0,89.0,89.69581909134352,62.53578186035156,2.700000047683716,0.0,39.0,25.64
23282196274,2026-06-17,2026-06-17 19:54:06,Quan 10 Cycling,cycling,5.3,1.32,121.0,132.0,35.0,,,8.4267578125,0.6000000238418579,0.0,0.0,14.86
23281962195,2026-06-17,2026-06-17 18:36:25,Chest New,strength_training,61.5,,121.0,145.0,340.0,,,42.699432373046875,2.0999999046325684,0.800000011920929,,
